X,Y,Point_ID,Height
506183.86,330458.839,LAU_R_348,61.312
506183.904,330458.901,LAU_R_347,61.296
506183.9,330458.982,LAU_R_346,61.306
506183.74,330459.312,LAU_R_345,61.321
506183.723,330459.501,LAU_R_344,61.308
506183.746,330459.751,LAU_R_343,61.308
506183.786,330459.763,LAU_R_342,61.299
506183.831,330459.811,LAU_R_341,61.292
506183.722,330459.818,LAU_R_340,61.271
506183.724,330459.818,LAU_R_339,61.267
506183.721,330459.822,LAU_R_338,61.279
506183.732,330459.821,LAU_R_337,61.252
506183.733,330459.821,LAU_R_336,61.245
506183.734,330459.818,LAU_R_335,61.245
506183.732,330459.813,LAU_R_334,61.235
506183.734,330459.807,LAU_R_333,61.246
506183.735,330459.807,LAU_R_332,61.246
506183.739,330459.791,LAU_R_331,61.259
506183.749,330459.794,LAU_R_330,61.284
506183.706,330459.794,LAU_R_329,61.273
506183.964,330459.836,LAU_R_328,61.301
506184.637,330460.088,LAU_R_327,61.271
506185.582,330460.425,LAU_R_326,61.284
506186.562,330460.769,LAU_R_325,61.27
506187.538,330461.086,LAU_R_324,61.261
506188.586,330461.435,LAU_R_323,61.279
506189.575,330461.756,LAU_R_322,61.254
506190.645,330462.132,LAU_R_321,61.243
506191.681,330462.457,LAU_R_320,61.252
506192.739,330462.854,LAU_R_319,61.212
506193.791,330463.16,LAU_R_318,61.219
506194.785,330463.521,LAU_R_317,61.21
506195.811,330463.843,LAU_R_316,61.187
506196.892,330464.181,LAU_R_315,61.164
506198.024,330464.569,LAU_R_314,61.138
506199.026,330464.915,LAU_R_313,61.15
506200.071,330465.249,LAU_R_312,61.147
506201.066,330465.623,LAU_R_311,61.133
506202.16,330465.948,LAU_R_310,61.132
506203.16,330466.299,LAU_R_309,61.096
506204.196,330466.617,LAU_R_308,61.106
506205.172,330466.987,LAU_R_307,61.115
506206.17,330467.346,LAU_R_306,61.093
506207.121,330467.658,LAU_R_305,61.069
506208.097,330468.029,LAU_R_304,61.07
506209.095,330468.33,LAU_R_303,61.046
506210.065,330468.659,LAU_R_302,61.037
506211.083,330469.028,LAU_R_301,61.022
506212.085,330469.367,LAU_R_300,61.021
506213.087,330469.734,LAU_R_299,61.013
506214.066,330470.073,LAU_R_298,60.995
506215.033,330470.445,LAU_R_297,60.971
506216.093,330470.769,LAU_R_296,60.956
506217.066,330471.117,LAU_R_295,60.95
506218.038,330471.415,LAU_R_294,60.938
506218.934,330471.731,LAU_R_293,60.914
506219.859,330472.041,LAU_R_292,60.885
506220.804,330472.362,LAU_R_291,60.879
506221.811,330472.656,LAU_R_290,60.848
506222.794,330472.984,LAU_R_289,60.829
506223.771,330473.28,LAU_R_288,60.806
506224.76,330473.625,LAU_R_287,60.784
506225.776,330473.97,LAU_R_286,60.756
506226.777,330474.301,LAU_R_285,60.744
506227.719,330474.579,LAU_R_284,60.721
506228.679,330474.925,LAU_R_283,60.694
506229.642,330475.255,LAU_R_282,60.68
506230.612,330475.572,LAU_R_281,60.678
506231.596,330475.848,LAU_R_280,60.663
